R.P,Date,Rep,TRT,Path,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
3.8,,5,OR,BR,100,-,15,95,65,40,100,-,90,-,70,55,-,25,10,-,80,30,5,45
3.8,,-,OR,DM,-,-,60,-,100,100,65,25,-,80,15,-,55,50,90,-,30,95,-,80
3.8,,-,OR,PM,5,35,15,-,-,-,60,-,0,-,20,-,70,100,75,15,-,-,-,50
3.8,,-,OR,O,65,15,10,5,55,0,-,5,-,20,-,35,25,30,-,5,35,-,20,-
3.9,,95,OR,BR,-,-,65,15,60,15,-,95,-,65,0,-,-,-,-,-,-,-,-,-
3.9,,-,OR,DM,30,-,20,-,0,75,25,-,-,10,-,70,0,-,0,85,-,-,100,-
3.9,,0,OR,PM,-,-,5,-,0,-,10,15,-,-,-,10,30,-,40,75,-,15,35,40
3.9,,5,OR,O,-,85,-,-,90,10,-,-,-,60,55,35,-,10,60,65,-,50,-,55
3.10,,80,OR,BR,20,-,55,-,35,40,20,15,5,65,-,65,95,-,65,30,-,50,-,-
3.10,,35,OR,DM,50,-,70,55,60,-,75,-,-,15,40,25,-,10,90,-,40,85,-,85
3.10,,75,OR,PM,20,90,75,-,75,-,-,-,80,-,-,40,20,10,60,-,0,90,-,-
3.10,,100,OR,O,-,-,55,95,25,-,-,-,25,-,65,-,50,30,-,-,5,15,-,65
4.1,,45,PK,BR,-,55,75,80,25,-,25,70,45,25,45,-,-,50,0,95,95,80,35,5
4.1,,65,PK,DM,60,95,0,85,80,-,-,-,-,-,75,-,20,-,55,75,-,55,-,75
4.1,,55,PK,PM,-,95,75,-,30,-,-,95,-,-,-,-,10,-,-,80,55,0,15,-
4.1,,5,PK,O,-,55,20,45,95,10,50,-,40,30,0,-,100,35,55,85,25,-,60,65
4.2,,-,PK,BR,85,10,85,0,5,85,25,20,-,75,-,-,100,-,45,-,-,95,0,-
4.2,,80,PK,DM,50,20,-,-,25,15,70,5,85,85,75,70,55,45,45,100,-,30,-,-
4.2,,50,PK,PM,35,70,0,-,35,-,100,-,-,25,-,100,25,-,60,5,5,85,70,45
4.2,,-,PK,O,65,-,-,60,10,65,-,-,-,65,-,-,30,10,40,5,-,-,45,45
4.3,,65,PK,BR,80,0,35,55,65,70,-,50,0,85,-,85,80,20,-,40,-,85,-,50
4.3,,20,PK,DM,60,35,25,-,40,-,75,-,-,85,-,-,-,30,25,-,-,25,10,-
4.3,,5,PK,PM,-,15,75,-,-,-,-,-,10,-,-,65,100,30,25,55,25,0,65,35
4.3,,60,PK,O,65,-,95,60,-,0,100,-,95,-,-,100,70,45,-,-,10,-,-,95
4.4,,95,PK,BR,45,0,-,-,30,80,55,15,-,45,40,30,-,-,15,70,25,-,95,-
4.4,,-,PK,DM,5,-,95,10,-,20,-,-,-,20,15,-,-,65,-,-,40,60,-,45
4.4,,20,PK,PM,-,30,35,50,60,10,25,-,-,-,10,60,80,45,-,70,-,25,-,85
4.4,,85,PK,O,15,100,40,60,45,60,-,80,-,-,10,-,55,25,85,-,-,10,45,70
4.5,,90,PK,BR,-,40,-,-,0,-,-,-,50,60,-,-,65,40,50,-,-,-,-,55
4.5,,85,PK,DM,15,-,-,60,45,0,95,45,0,15,50,100,40,25,-,30,-,80,-,-
4.5,,70,PK,PM,0,-,-,-,60,90,20,95,10,50,-,75,45,50,10,-,85,-,-,50
4.5,,5,PK,O,0,-,15,5,90,30,70,55,-,100,95,-,-,-,15,-,-,-,30,-
4.6,,20,OR,BR,80,-,55,-,25,55,-,45,80,-,85,25,60,-,-,0,35,-,-,5
4.6,,5,OR,DM,-,-,60,5,15,35,45,45,45,-,-,-,-,50,-,-,-,40,60,40
4.6,,-,OR,PM,15,15,85,60,0,-,100,40,100,-,5,45,65,-,65,5,40,-,45,35
4.6,,55,OR,O,-,50,-,-,-,60,95,95,10,40,-,10,-,35,25,5,70,60,-,80
INITIALS:,,,NOTES:,,,,,,,,,,,,,,,,,,,,,
