R.P,Date,Rep,TRT,Path,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
2.9,,30,OR,BR,60,-,70,35,65,-,5,-,75,15,60,-,-,70,20,5,-,55,-,85
2.9,,65,OR,DM,70,60,-,20,-,85,-,-,-,5,-,-,-,100,10,55,30,-,100,-
2.9,,-,OR,PM,35,15,5,-,0,-,-,30,80,20,5,5,-,-,0,30,90,60,35,70
2.9,,-,OR,O,0,100,30,55,60,-,-,100,-,15,75,5,80,-,100,15,75,10,-,50
2.10,,75,OR,BR,70,45,-,65,-,-,75,25,55,-,-,0,-,55,-,-,-,-,-,80
2.10,,-,OR,DM,-,5,10,35,-,55,-,-,-,30,-,-,20,-,-,-,-,-,70,-
2.10,,-,OR,PM,25,-,-,-,95,-,-,-,-,80,15,-,-,25,10,-,10,40,-,-
2.10,,-,OR,O,75,-,55,30,15,25,-,50,45,55,55,25,-,90,-,-,35,10,-,75
3.1,,5,PK,BR,55,65,-,20,-,-,-,25,-,80,-,-,60,70,-,-,35,-,-,90
3.1,,0,PK,DM,10,85,-,-,-,-,-,30,-,0,-,100,90,-,15,85,-,60,-,-
3.1,,-,PK,PM,-,70,50,-,-,80,5,50,-,30,-,45,-,25,80,15,-,-,75,10
3.1,,-,PK,O,50,-,-,-,80,-,40,50,25,90,-,80,40,25,-,15,-,30,100,-
3.2,,25,PK,BR,-,5,40,35,-,80,0,10,20,-,50,45,-,-,5,-,0,60,-,65
3.2,,-,PK,DM,50,100,-,-,95,10,-,30,85,50,90,-,0,80,-,-,35,-,80,75
3.2,,15,PK,PM,100,20,10,10,40,-,-,90,-,25,5,10,45,100,-,75,-,65,65,-
3.2,,55,PK,O,60,100,-,-,35,-,75,-,75,20,90,40,-,90,75,30,-,65,-,50
3.3,,10,PK,BR,-,-,-,-,90,-,35,45,-,70,15,95,40,65,55,70,20,-,-,-
3.3,,85,PK,DM,90,100,15,-,-,95,-,90,-,0,5,95,-,-,95,-,85,5,-,-
3.3,,30,PK,PM,100,55,-,-,0,15,15,-,30,-,15,75,70,-,100,-,-,-,10,0
3.3,,90,PK,O,70,-,-,-,55,-,-,85,-,75,-,20,65,-,100,-,15,5,50,-
3.4,,95,PK,BR,-,85,25,55,-,0,-,0,-,10,90,0,70,45,75,-,-,-,-,-
3.4,,70,PK,DM,-,-,70,90,75,65,-,-,5,100,40,10,-,-,20,20,45,-,15,-
3.4,,60,PK,PM,20,-,-,-,75,100,75,5,30,60,95,45,75,55,-,20,35,15,-,-
3.4,,75,PK,O,90,75,-,55,-,5,15,45,60,65,85,70,-,-,45,-,-,-,30,-
3.5,,-,PK,BR,100,25,30,5,55,-,35,-,40,-,20,20,50,-,85,-,10,-,-,10
3.5,,10,PK,DM,70,95,0,75,70,65,55,55,95,85,-,70,-,85,20,-,-,25,-,15
3.5,,-,PK,PM,35,35,45,45,60,0,25,60,75,-,-,100,-,50,100,-,40,40,85,-
3.5,,-,PK,O,80,-,55,-,25,55,-,45,80,-,85,25,60,-,-,0,35,-,-,5
3.6,,45,OR,BR,-,-,60,5,15,35,45,45,45,-,-,-,-,50,-,-,-,40,60,40
3.6,,-,OR,DM,15,15,85,60,0,-,100,40,100,-,5,45,65,-,65,5,40,-,45,35
3.6,,-,OR,PM,-,50,-,-,-,60,95,95,10,40,-,10,-,35,25,5,70,60,-,80
3.6,,60,OR,O,5,-,45,-,10,-,70,-,-,70,10,-,25,55,20,-,100,90,-,-
3.7,,70,OR,BR,-,-,55,95,25,-,-,-,25,-,65,-,50,30,-,-,5,15,-,65
3.7,,80,OR,DM,-,55,75,80,25,-,25,70,45,25,45,-,-,50,0,95,95,80,35,5
3.7,,70,OR,PM,60,95,0,85,80,-,-,-,-,-,75,-,20,-,55,75,-,55,-,75
3.7,,-,OR,O,-,95,75,-,30,-,-,95,-,-,-,-,10,-,-,80,55,0,15,-
INITIALS:,,,NOTES:,,,,,,,,,,,,,,,,,,,,,
